"BUSINESS_UNIT_NAME"|"BUSINESS_UNIT_BK"|"H_BUSINESS_UNIT_SID"|"WORKFLOW_PATH"|"WORKFLOW_NAME"|"WORKSPACE"|"SOURCE"|"LOAD_DATE_TIME"
"Rosanna"|"3600"|"3e20a0ed1e4cf85336c4a8b2b06ee61cbd40c347"|"/Source_Systems/Client Management/CSM/Business Unit CSM Snowflake"|"Business Unit CSM Snowflake"|"D:\BI_and_Data_Analytics\Workflows"|"CSM"|"2018-08-06 14:47:02.0"
"Primed"|"3500"|"65609286cc04ece831a844984a6bc9eb80450cf7"|"/Source_Systems/Client Management/CSM/Business Unit CSM Snowflake"|"Business Unit CSM Snowflake"|"D:\BI_and_Data_Analytics\Workflows"|"CSM"|"2018-08-06 14:47:02.0"
"Hurstbridge"|"3200"|"a4b69114cc862536cb8575aa950d25fbb06daaf3"|"/Source_Systems/Client Management/CSM/Business Unit CSM Snowflake"|"Business Unit CSM Snowflake"|"D:\BI_and_Data_Analytics\Workflows"|"CSM"|"2018-08-06 14:47:02.0"
"Diamond Creek"|"3200"|"a4b69114cc862536cb8575aa950d25fbb06daaf3"|"/Source_Systems/Client Management/CSM/Business Unit CSM Snowflake"|"Business Unit CSM Snowflake"|"D:\BI_and_Data_Analytics\Workflows"|"CSM"|"2018-08-06 14:47:02.0"
"Macorna Street"|"1400"|"6f34a3e0e1af181e8a78e70c146682b7ead12846"|"/Source_Systems/Client Management/CSM/Business Unit CSM Snowflake"|"Business Unit CSM Snowflake"|"D:\BI_and_Data_Analytics\Workflows"|"CSM"|"2018-08-06 14:47:02.0"
"Lower Plenty"|"3300"|"d566dce13cebefa2c17e16faf2d602be94b4e50d"|"/Source_Systems/Client Management/CSM/Business Unit CSM Snowflake"|"Business Unit CSM Snowflake"|"D:\BI_and_Data_Analytics\Workflows"|"CSM"|"2018-08-06 14:47:02.0"
"Fraser House"|"1200"|"73ee4958bdb5a056029ebd39b8abbaa3dbc0f333"|"/Source_Systems/Client Management/CSM/Business Unit CSM Snowflake"|"Business Unit CSM Snowflake"|"D:\BI_and_Data_Analytics\Workflows"|"CSM"|"2018-08-06 14:47:02.0"
"Rattray Road"|"1500"|"7841fb1f92b99194ca818d410cb09430731b6285"|"/Source_Systems/Client Management/CSM/Business Unit CSM Snowflake"|"Business Unit CSM Snowflake"|"D:\BI_and_Data_Analytics\Workflows"|"CSM"|"2018-08-06 14:47:02.0"
"Greenwood Drive"|"1300"|"6341e003520bc779c996d2490305a597ff45a8ae"|"/Source_Systems/Client Management/CSM/Business Unit CSM Snowflake"|"Business Unit CSM Snowflake"|"D:\BI_and_Data_Analytics\Workflows"|"CSM"|"2018-08-06 14:47:02.0"
"Carwarp Street"|"1100"|"b124524c4b1ade45d1deecbcdef614fadb3ec205"|"/Source_Systems/Client Management/CSM/Business Unit CSM Snowflake"|"Business Unit CSM Snowflake"|"D:\BI_and_Data_Analytics\Workflows"|"CSM"|"2018-08-06 14:47:02.0"
"Support Coordination"|"3410"|"bce6b6f96bca720142feed15638464f17b4df11a"|"/Source_Systems/Client Management/CSM/Business Unit CSM Snowflake"|"Business Unit CSM Snowflake"|"D:\BI_and_Data_Analytics\Workflows"|"CSM"|"2018-08-06 14:47:02.0"
"Administration"|"2100"|"89b98f7be8afc23ebefc3e02f86ebb89cbe74176"|"/Source_Systems/Client Management/CSM/Business Unit CSM Snowflake"|"Business Unit CSM Snowflake"|"D:\BI_and_Data_Analytics\Workflows"|"CSM"|"2018-08-06 14:47:02.0"
"Skill Development"|"3420"|"0c824cc7119f4287367f7b7aa9770f2339f5d2ce"|"/Source_Systems/Client Management/CSM/Business Unit CSM Snowflake"|"Business Unit CSM Snowflake"|"D:\BI_and_Data_Analytics\Workflows"|"CSM"|"2018-08-06 14:47:02.0"
"Transport"|"8100"|"94ea7db71daea81d8b156eff10e4e1621414ebfe"|"/Source_Systems/Client Management/CSM/Business Unit CSM Snowflake"|"Business Unit CSM Snowflake"|"D:\BI_and_Data_Analytics\Workflows"|"CSM"|"2018-08-06 14:47:02.0"
"Saturday Support"|"3430"|"c66af2489fdee561cbd6db7cdcb976e31378079f"|"/Source_Systems/Client Management/CSM/Business Unit CSM Snowflake"|"Business Unit CSM Snowflake"|"D:\BI_and_Data_Analytics\Workflows"|"CSM"|"2018-08-06 14:47:02.0"
"Summer Recreation"|"3440"|"bbf4889e253924ac30c7637f0c26d73f8c747398"|"/Source_Systems/Client Management/CSM/Business Unit CSM Snowflake"|"Business Unit CSM Snowflake"|"D:\BI_and_Data_Analytics\Workflows"|"CSM"|"2018-08-06 14:47:02.0"
"Out of Hours Support"|"1410"|"8d93c9b0486a80bc7b6909df5440d0c190eccd4e"|"/Source_Systems/Client Management/CSM/Business Unit CSM Snowflake"|"Business Unit CSM Snowflake"|"D:\BI_and_Data_Analytics\Workflows"|"CSM"|"2018-08-06 14:47:02.0"
"Day Supports-Other"|"3400"|"881cd002ab0b4dc9dab6a131ca7b162f75e77ec9"|"/Source_Systems/Client Management/CSM/Business Unit CSM Snowflake"|"Business Unit CSM Snowflake"|"D:\BI_and_Data_Analytics\Workflows"|"CSM"|"2018-08-06 14:47:02.0"
"Accommodation-Other"|"1400"|"6f34a3e0e1af181e8a78e70c146682b7ead12846"|"/Source_Systems/Client Management/CSM/Business Unit CSM Snowflake"|"Business Unit CSM Snowflake"|"D:\BI_and_Data_Analytics\Workflows"|"CSM"|"2018-08-06 14:47:02.0"
"Housing-Other"|"1710"|"d2df16bee9d37212d9dc0a9709c3a8579fedcfff"|"/Source_Systems/Client Management/CSM/Business Unit CSM Snowflake"|"Business Unit CSM Snowflake"|"D:\BI_and_Data_Analytics\Workflows"|"CSM"|"2018-08-06 14:47:02.0"
"Eden Park"|"3800"|"72484775e7590f61959270d1d14edc6fc51df563"|"/Source_Systems/Client Management/CSM/Business Unit CSM Snowflake"|"Business Unit CSM Snowflake"|"D:\BI_and_Data_Analytics\Workflows"|"CSM"|"2018-08-06 14:47:02.0"
"Epping Chancez"|"3120"|"e23c8d8f16f9cfa88fc5bace14415761fbc77f03"|"/Source_Systems/Client Management/CSM/Business Unit CSM Snowflake"|"Business Unit CSM Snowflake"|"D:\BI_and_Data_Analytics\Workflows"|"CSM"|"2018-08-06 14:47:02.0"
"Mill Park Chancez"|"3150"|"a1254acc3431c64117c1412d3713945c2e668dc2"|"/Source_Systems/Client Management/CSM/Business Unit CSM Snowflake"|"Business Unit CSM Snowflake"|"D:\BI_and_Data_Analytics\Workflows"|"CSM"|"2018-08-06 14:47:02.0"
"Greensborough Chancez"|"3180"|"7b1a65ed3b6d0acc6e6e7dc87eca54cd20023067"|"/Source_Systems/Client Management/CSM/Business Unit CSM Snowflake"|"Business Unit CSM Snowflake"|"D:\BI_and_Data_Analytics\Workflows"|"CSM"|"2018-08-06 14:47:02.0"
